Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1996,4,91.097
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1996,4,1.955
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1996,4,0.987
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1996,4,0.968
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1996,4,0.167
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1996,4,11.49
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1997,1,247.305
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1997,1,31.431
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1997,1,3.542
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1997,1,27.889
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1997,1,2.74
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1997,1,1.201
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1997,1,17.113
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1997,1,5.398
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1997,1,189.423
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1997,1,165.663
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1997,1,3.873
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1997,1,1.942
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1997,1,1.93
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1997,1,0.224
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1997,1,19.663
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1997,1,139.121
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1997,1,17.64
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1997,1,1.845
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1997,1,15.795
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1997,1,1.521
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1997,1,0.91
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1997,1,10.634
"Total economy","All workers",Farm,Employment,"Millions of jobs",1997,1,2.907
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1997,1,105.508
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1997,1,91.794
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1997,1,1.959
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1997,1,0.995
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1997,1,0.965
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1997,1,0.138
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1997,1,11.616
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1997,2,248.519
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1997,2,31.584
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1997,2,3.533
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1997,2,28.051
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1997,2,2.722
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1997,2,1.23
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1997,2,17.287
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1997,2,5.356
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1997,2,190.34
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1997,2,166.866
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1997,2,3.812
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1997,2,1.879
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1997,2,1.933
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1997,2,0.222
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1997,2,19.44
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1997,2,139.741
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1997,2,17.679
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1997,2,1.836
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1997,2,15.843
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1997,2,1.509
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1997,2,0.941
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1997,2,10.694
"Total economy","All workers",Farm,Employment,"Millions of jobs",1997,2,2.808
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1997,2,106.11
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1997,2,92.59
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1997,2,1.942
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1997,2,0.979
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1997,2,0.963
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1997,2,0.148
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1997,2,11.43
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1997,3,249.766
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1997,3,31.574
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1997,3,3.429
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1997,3,28.145
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",1997,3,2.71
"Total economy",Employees,"Private households","Hours worked","Billions of hours",1997,3,1.291
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",1997,3,17.46
"Total economy","All workers",Farm,"Hours worked","Billions of hours",1997,3,5.26
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",1997,3,191.472
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",1997,3,168.273
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",1997,3,3.907
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",1997,3,1.977
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",1997,3,1.93
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",1997,3,0.255
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",1997,3,19.036
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",1997,3,140.329
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",1997,3,17.702
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",1997,3,1.783
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",1997,3,15.919
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",1997,3,1.502
"Total economy",Employees,"Private households",Employment,"Millions of jobs",1997,3,0.98
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",1997,3,10.776
"Total economy","All workers",Farm,Employment,"Millions of jobs",1997,3,2.751
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",1997,3,106.619
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",1997,3,93.162
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",1997,3,1.959
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",1997,3,0.993
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",1997,3,0.966
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",1997,3,0.174
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",1997,3,11.324
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",1997,4,251.019
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",1997,4,31.996
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",1997,4,3.527
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",1997,4,28.469
